TimeStamp,test.data8i,test.float_data,test.data,test.address
10294.8,35,772.598,506,740
10295.1,35,772.598,506,740
10295.3,35,772.598,506,740
10295.7,35,772.598,506,740
10295.9,35,772.598,506,740
10296.2,36,771.898,504,750
10296.4,36,771.898,504,750
10296.9,36,771.898,504,750
10297.1,36,771.898,504,750
10297.4,36,771.898,504,750
10297.7,36,771.898,504,750
10298,37,771.898,504,750
10298.2,37,771.198,502,760
10298.7,37,771.198,502,760
10299.1,37,771.198,502,760
10299.3,37,771.198,502,760
10299.7,37,771.198,502,760
10300,37,771.198,502,760
10300.3,38,770.498,500,770
10300.7,38,770.498,500,770
10301,38,770.498,500,770
10301.2,38,770.498,500,770
10301.5,38,770.498,90,770
10301.8,38,770.498,90,770
10302.1,39,769.798,92,780
10302.4,39,769.798,92,780
10302.7,39,769.798,92,780
10302.9,39,769.798,92,780
10303.3,39,769.798,92,780
10303.7,39,769.798,92,780
10303.9,39,769.798,92,780
10304.2,40,769.098,94,790
10304.4,40,769.098,94,790
10304.8,40,769.098,94,790
10305.1,40,769.098,94,790
10305.4,40,769.098,94,790
10305.7,40,769.098,94,790
10305.9,40,769.098,94,790
10306.2,41,768.398,96,800
10306.4,41,768.398,96,800
10306.8,41,768.398,96,800
10307.1,41,768.398,96,800
10307.3,41,768.398,96,800
10307.7,41,768.398,96,800
10308,42,768.398,96,800
10308.2,42,767.698,98,810
10308.5,42,767.698,98,810
10308.8,42,767.698,98,810
10309.1,42,767.698,98,810
10309.3,42,767.698,98,810
10309.7,42,767.698,98,810
10309.9,42,767.698,98,810
10310.2,43,766.998,100,800
10310.4,43,766.998,100,800
10310.8,43,766.998,100,800
10311.1,43,766.998,100,800
10311.4,43,766.998,100,800
10311.7,43,766.998,100,800
10311.9,43,766.998,100,800
10312.2,44,766.298,102,790
10312.4,44,766.298,102,790
10312.8,44,766.298,102,790
10313.1,44,766.298,102,790
10313.5,44,766.298,102,790
10313.9,44,766.298,102,790
10314.2,45,765.598,104,780
10314.4,45,765.598,104,780
10314.8,45,765.598,104,780
10315.1,45,765.598,104,780
10315.4,45,765.598,104,780
10315.7,45,765.598,104,780
10315.9,45,765.598,104,780
10316.2,46,764.898,106,770
10316.5,46,764.898,106,770
10316.8,46,764.898,106,770
10317.1,46,764.898,106,770
10317.3,46,764.898,106,770
10317.7,46,764.898,106,770
10317.9,46,764.898,106,770
10318.2,47,764.198,108,760
10318.4,47,764.198,108,760
10318.8,47,764.198,108,760
10319.1,47,764.198,108,760
